id,name,category,description,price,stock,imageUrl
1,Wireless Bluetooth Headphones,Electronics,High-quality wireless headphones with noise cancellation and 30-hour battery life. Premium sound and comfortable fit for all-day use.,89.99,150,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
2,USB-C Fast Charger,Electronics,65W USB-C power adapter with multiple device charging capability. Compact design perfect for travel.,34.99,200,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/USB_Type-C_Receptacle_02.jpg/320px-USB_Type-C_Receptacle_02.jpg
3,4K Webcam,Electronics,Professional 4K webcam with auto-focus and built-in microphone for streaming and video calls.,149.99,75,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/GoldenGateBridge-001.jpg/320px-GoldenGateBridge-001.jpg
4,Mechanical Keyboard,Electronics,RGB mechanical keyboard with custom switches and programmable keys for gaming and work.,129.99,100,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/KeboardLayout.svg/320px-KeboardLayout.svg.png
5,Portable SSD 1TB,Electronics,Ultra-fast portable solid state drive with 1TB capacity. Water-resistant and durable design.,159.99,85,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Laptop_hard_disk_exposed.jpg/320px-Laptop_hard_disk_exposed.jpg
6,Smart Watch Fitness,Electronics,Advanced fitness tracking with heart rate monitor, sleep tracking, and 14-day battery life.,199.99,110,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/21799s-digital-watch.jpg/320px-21799s-digital-watch.jpg
4K Monitor 32",Electronics,Stunning 32-inch 4K display with HDR support and USB-C connectivity for professional work.,399.99,40,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Metal_texture.jpg/320px-Metal_texture.jpg
Laptop Stand Aluminum,Electronics,Premium aluminum laptop stand with adjustable height. Compatible with all laptop sizes.,45.99,180,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
Wireless Mouse Pro,Electronics,Ergonomic wireless mouse with precision tracking and 18-month battery life.,59.99,160,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/A_small_cup_of_coffee.JPG/320px-A_small_cup_of_coffee.JPG
10,USB Hub 7-Port,Electronics,Compact 7-port USB hub with individual switches and fast charging support.,49.99,140,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
11,Winter Wool Coat,Fashion,Luxurious wool winter coat with classic design. Perfect for cold weather. Available in navy and charcoal.,189.99,60,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/DogInWinterClothes.jpg/320px-DogInWinterClothes.jpg
12,Casual Denim Jacket,Fashion,Classic blue denim jacket suitable for all seasons. Durable and timeless style.,79.99,120,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
13,Comfortable Running Shoes,Fashion,Lightweight running shoes with responsive cushioning and excellent arch support.,129.99,95,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Gfp-running.jpg/320px-Gfp-running.jpg
14,Elegant Evening Dress,Fashion,Sophisticated black evening dress perfect for formal occasions. Featuring elegant draping.,249.99,35,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
15,Athletic Leggings,Fashion,High-waisted leggings with moisture-wicking fabric and pockets. Perfect for workouts.,69.99,140,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
16,Cotton T-Shirt 3-Pack,Fashion,Premium quality cotton t-shirts in assorted colors. Comfortable fit and durable construction.,44.99,200,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
